Offset-Description                                     
0000 - 4 Bytes           21C5828 : 22                  
7314 - 4 Bytes           21CCB3C : 0                   
7318 - 4 Bytes           21CCB40 : 14                  
731C - 4 Bytes           21CCB44 : 0                   
7320 - 4 Bytes           21CCB48 : 0                   
7324 - Pointer           21CCB4C : P->42DDE466         
7328 - Byte              21CCB50 : 234                 
7329 - Byte              21CCB51 : 180                 
732A - Byte              21CCB52 : 136                 
732B - Byte              21CCB53 : 194                 
732C - Float             21CCB54 : -57.6647644         
7330 - 4 Bytes           21CCB58 : 0                   
7334 - 4 Bytes           21CCB5C : 0                   
7338 - 4 Bytes           21CCB60 : 0                   
733C - 4 Bytes           21CCB64 : 0                   
7340 - 4 Bytes           21CCB68 : 0                   
7344 - 4 Bytes           21CCB6C : 0                   
7348 - 4 Bytes           21CCB70 : 0                   
734C - Pointer           21CCB74 : P->43452468         
7350 - 4 Bytes           21CCB78 : 0                   
7354 - 4 Bytes           21CCB7C : 0                   
7358 - 4 Bytes           21CCB80 : 0                   
735C - 4 Bytes           21CCB84 : 0                   
7360 - 4 Bytes           21CCB88 : 10                  
7364 - 4 Bytes           21CCB8C : 0                   
7368 - 4 Bytes           21CCB90 : 2                   
736C - 4 Bytes           21CCB94 : 0                   
7370 - 4 Bytes           21CCB98 : 0                   
7374 - Pointer           21CCB9C : P->00010000         
7378 - 4 Bytes           21CCBA0 : 0                   
737C - 4 Bytes           21CCBA4 : 0                   
7380 - 4 Bytes           21CCBA8 : 0                   
7384 - Pointer           21CCBAC : P->01200003         
7388 - 4 Bytes           21CCBB0 : 0                   
738C - 4 Bytes           21CCBB4 : 0                   
7390 - 4 Bytes           21CCBB8 : 0                   
7394 - 4 Bytes           21CCBBC : 0                   
7398 - 4 Bytes           21CCBC0 : 0                   
739C - Pointer           21CCBC4 : P->00000028         
73A0 - 4 Bytes           21CCBC8 : 0                   
73A4 - 4 Bytes           21CCBCC : 0                   
73A8 - 4 Bytes           21CCBD0 : 0                   
73AC - 4 Bytes           21CCBD4 : 0                   
73B0 - 4 Bytes           21CCBD8 : 0                   
73B4 - 4 Bytes           21CCBDC : 0                   
73B8 - 4 Bytes           21CCBE0 : 0                   
73BC - 4 Bytes           21CCBE4 : 0                   
73C0 - 4 Bytes           21CCBE8 : 0                   
73C4 - 4 Bytes           21CCBEC : 0                   
73C8 - 4 Bytes           21CCBF0 : 0                   
73CC - 4 Bytes           21CCBF4 : 0                   
73D0 - 4 Bytes           21CCBF8 : 0                   
73D4 - 4 Bytes           21CCBFC : 0                   
73D8 - 4 Bytes           21CCC00 : 0                   
73DC - 4 Bytes           21CCC04 : 0                   
73E0 - 4 Bytes           21CCC08 : 0                   
73E4 - Pointer           21CCC0C : P->03FF0012         
73E8 - 4 Bytes           21CCC10 : 115                 
73EC - 4 Bytes           21CCC14 : 0                   
73F0 - 4 Bytes           21CCC18 : 0                   
73F4 - 4 Bytes           21CCC1C : 0                   
73F8 - 4 Bytes           21CCC20 : 0                   
73FC - 4 Bytes           21CCC24 : 0                   
7400 - 4 Bytes           21CCC28 : 0                   
7404 - Pointer           21CCC2C : P->01000001         
7408 - 4 Bytes           21CCC30 : 0                   
740C - Float             21CCC34 : -15                 
7410 - Float             21CCC38 : -15                 
7414 - 4 Bytes           21CCC3C : 0                   
7418 - Float             21CCC40 : 15                  
741C - Float             21CCC44 : 15                  
7420 - Float             21CCC48 : 48                  
7424 - Pointer           21CCC4C : P->04000000         
7428 - Float             21CCC50 : 57.46752548         
742C - Pointer           21CCC54 : P->C2F3A9F1         
7430 - Float             21CCC58 : -111.1433334        
7434 - Pointer           21CCC5C : P->43246CB6         
7438 - Pointer           21CCC60 : P->C16DFF1A         
743C - Byte              21CCC64 : 84                  
743D - Byte              21CCC65 : 245                 
743E - Byte              21CCC66 : 133                 
743F - Byte              21CCC67 : 192                 
7440 - Pointer           21CCC68 : P->42DDE466         
7444 - Byte              21CCC6C : 234                 
7445 - Byte              21CCC6D : 180                 
7446 - Byte              21CCC6E : 136                 
7447 - Byte              21CCC6F : 194                 
7448 - Float             21CCC70 : -57.6647644         
744C - 4 Bytes           21CCC74 : 0                   
7450 - Pointer           21CCC78 : P->43452468         
7454 - 4 Bytes           21CCC7C : 0                   
7458 - 4 Bytes           21CCC80 : 0                   
745C - 4 Bytes           21CCC84 : 0                   
7460 - 4 Bytes           21CCC88 : 0                   
7464 - 4 Bytes           21CCC8C : 0                   
7468 - 4 Bytes           21CCC90 : 0                   
746C - 4 Bytes           21CCC94 : 0                   
7470 - 4 Bytes           21CCC98 : 0                   
7474 - 4 Bytes           21CCC9C : 0                   
7478 - Pointer           21CCCA0 : P->00010073         
747C - Pointer           21CCCA4 : P->00030000         
7480 - Pointer           21CCCA8 : P->11850061         
7484 - 4 Bytes           21CCCAC : 0                   
7488 - 4 Bytes           21CCCB0 : 0                   
748C - 4 Bytes           21CCCB4 : 0                   
7490 - 4 Bytes           21CCCB8 : 0                   
7494 - 4 Bytes           21CCCBC : 0                   
7498 - 4 Bytes           21CCCC0 : 0                   
749C - 4 Bytes           21CCCC4 : 0                   
74A0 - 4 Bytes           21CCCC8 : 0                   
74A4 - Pointer           21CCCCC : P->00010001         
74A8 - 4 Bytes           21CCCD0 : 8526                
74AC - 4 Bytes           21CCCD4 : 0                   
74B0 - 4 Bytes           21CCCD8 : 0                   
74B4 - 4 Bytes           21CCCDC : 0                   
74B8 - 4 Bytes           21CCCE0 : 0                   
74BC - 4 Bytes           21CCCE4 : 0                   
74C0 - 4 Bytes           21CCCE8 : 0                   
74C4 - 4 Bytes           21CCCEC : 0                   
74C8 - 4 Bytes           21CCCF0 : 0                   
74CC - 4 Bytes           21CCCF4 : 0                   
74D0 - 4 Bytes           21CCCF8 : 0                   
74D4 - 4 Bytes           21CCCFC : 0                   
74D8 - 4 Bytes           21CCD00 : 0                   
74DC - 4 Bytes           21CCD04 : 0                   
74E0 - 4 Bytes           21CCD08 : 0                   
74E4 - 4 Bytes           21CCD0C : 0                   
74E8 - 4 Bytes           21CCD10 : 0                   
74EC - 4 Bytes           21CCD14 : 0                   
74F0 - 4 Bytes           21CCD18 : 0                   
74F4 - 4 Bytes           21CCD1C : 0                   
74F8 - 4 Bytes           21CCD20 : 0                   
74FC - 4 Bytes           21CCD24 : 0                   
7500 - 4 Bytes           21CCD28 : 0                   
7504 - 4 Bytes           21CCD2C : 0                   
7508 - 4 Bytes           21CCD30 : 0                   
750C - 4 Bytes           21CCD34 : 0                   
7510 - 4 Bytes           21CCD38 : 0                   
7514 - 4 Bytes           21CCD3C : 0                   
7518 - 4 Bytes           21CCD40 : 0                   
751C - 4 Bytes           21CCD44 : 0                   
7520 - 4 Bytes           21CCD48 : 0                   
7524 - 4 Bytes           21CCD4C : 0                   
7528 - 4 Bytes           21CCD50 : 0                   
752C - 4 Bytes           21CCD54 : 0                   
7530 - 4 Bytes           21CCD58 : 0                   
7534 - 4 Bytes           21CCD5C : 0                   
7538 - 4 Bytes           21CCD60 : 384150              
753C - 4 Bytes           21CCD64 : 0                   
7540 - 4 Bytes           21CCD68 : 0                   
7544 - 4 Bytes           21CCD6C : 0                   
7548 - 4 Bytes           21CCD70 : 0                   
754C - 4 Bytes           21CCD74 : 0                   
7550 - 4 Bytes           21CCD78 : 0                   
7554 - 4 Bytes           21CCD7C : 0                   
7558 - 4 Bytes           21CCD80 : 0                   
755C - 4 Bytes           21CCD84 : 0                   
7560 - 4 Bytes           21CCD88 : 0                   
7564 - 4 Bytes           21CCD8C : 0                   
7568 - 4 Bytes           21CCD90 : 0                   
756C - 4 Bytes           21CCD94 : 0                   
7570 - 4 Bytes           21CCD98 : 0                   
7574 - 4 Bytes           21CCD9C : 0                   
7578 - 4 Bytes           21CCDA0 : 0                   
757C - 4 Bytes           21CCDA4 : 0                   
7580 - 4 Bytes           21CCDA8 : 0                   
7584 - 4 Bytes           21CCDAC : 0                   
7588 - 4 Bytes           21CCDB0 : 0                   
758C - 4 Bytes           21CCDB4 : 0                   
7590 - 4 Bytes           21CCDB8 : 0                   
7594 - 4 Bytes           21CCDBC : 0                   
7598 - 4 Bytes           21CCDC0 : 0                   
759C - 4 Bytes           21CCDC4 : 0                   
75A0 - 4 Bytes           21CCDC8 : 0                   
75A4 - 4 Bytes           21CCDCC : 0                   
75A8 - 4 Bytes           21CCDD0 : 0                   
75AC - 4 Bytes           21CCDD4 : 0                   
75B0 - 4 Bytes           21CCDD8 : 0                   
75B4 - 4 Bytes           21CCDDC : 0                   
75B8 - 4 Bytes           21CCDE0 : 0                   
75BC - 4 Bytes           21CCDE4 : 0                   
75C0 - 4 Bytes           21CCDE8 : 0                   
75C4 - 4 Bytes           21CCDEC : 0                   
75C8 - 4 Bytes           21CCDF0 : 0                   
75CC - 4 Bytes           21CCDF4 : 0                   
75D0 - 4 Bytes           21CCDF8 : 0                   
75D4 - 4 Bytes           21CCDFC : 0                   
75D8 - 4 Bytes           21CCE00 : 0                   
75DC - 4 Bytes           21CCE04 : 0                   
75E0 - 4 Bytes           21CCE08 : 0                   
75E4 - 4 Bytes           21CCE0C : 0                   
75E8 - 4 Bytes           21CCE10 : 0                   
75EC - 4 Bytes           21CCE14 : 0                   
75F0 - 4 Bytes           21CCE18 : 0                   
75F4 - 4 Bytes           21CCE1C : 0                   
75F8 - 4 Bytes           21CCE20 : 0                   
75FC - 4 Bytes           21CCE24 : 0                   
7600 - 4 Bytes           21CCE28 : 0                   
7604 - 4 Bytes           21CCE2C : 0                   
7608 - 4 Bytes           21CCE30 : 0                   
760C - 4 Bytes           21CCE34 : 0                   
7610 - 4 Bytes           21CCE38 : 2                   
7614 - 4 Bytes           21CCE3C : 0                   
7618 - 4 Bytes           21CCE40 : 0                   
761C - 4 Bytes           21CCE44 : 384150              
7620 - 4 Bytes           21CCE48 : 0                   
7624 - 4 Bytes           21CCE4C : 0                   
7628 - 4 Bytes           21CCE50 : 60                  
762C - Pointer           21CCE54 : P->04040802         
7630 - 4 Bytes           21CCE58 : 0                   
7634 - 4 Bytes           21CCE5C : 14                  
7638 - 4 Bytes           21CCE60 : 0                   
763C - 4 Bytes           21CCE64 : 0                   
7640 - Float             21CCE68 : 160.963974          
7644 - Pointer           21CCE6C : P->C25E4A11         
7648 - Float             21CCE70 : -55.10574722        
764C - 4 Bytes           21CCE74 : 0                   
7650 - 4 Bytes           21CCE78 : 0                   
7654 - 4 Bytes           21CCE7C : 0                   
7658 - 4 Bytes           21CCE80 : 0                   
765C - 4 Bytes           21CCE84 : 0                   
7660 - 4 Bytes           21CCE88 : 0                   
7664 - 4 Bytes           21CCE8C : 0                   
7668 - Pointer           21CCE90 : P->41BCE29C         
766C - 4 Bytes           21CCE94 : 0                   
7670 - 4 Bytes           21CCE98 : 0                   
7674 - 4 Bytes           21CCE9C : 0                   
7678 - 4 Bytes           21CCEA0 : 0                   
767C - 4 Bytes           21CCEA4 : 1                   
7680 - 4 Bytes           21CCEA8 : 0                   
7684 - 4 Bytes           21CCEAC : 2                   
